"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_8세","2015년_계_9세","2015년_계_10세","2015년_계_11세","2015년_계_12세","2015년_계_13세"
"서울특별시  (1100000000)","10,022,181","481,708","82,452","75,752","73,327","81,332","84,334","84,511"
"서울특별시 종로구 (1111000000)","154,986","6,578","1,063","998","963","1,085","1,242","1,227"
"서울특별시 종로구 청운효자동(1111051500)","14,105","825","141","131","113","135","155","150"
"서울특별시 종로구 사직동(1111053000)","9,700","424","72","74","55","67","80","76"
"서울특별시 종로구 삼청동(1111054000)","2,960","112","18","19","17","15","22","21"
"서울특별시 종로구 부암동(1111055000)","10,780","567","86","85","83","102","107","104"
"서울특별시 종로구 평창동(1111056000)","19,212","949","157","136","143","164","189","160"
"서울특별시 종로구 무악동(1111057000)","8,541","556","106","80","85","77","107","101"
"서울특별시 종로구 교남동(1111058000)","4,797","205","25","24","40","28","45","43"
"서울특별시 종로구 가회동(1111060000)","4,837","210","27","33","31","32","41","46"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,876","150","27","24","21","18","27","33"
"서울특별시 종로구 종로5.6가동(1111063000)","5,719","146","17","21","17","30","38","23"
"서울특별시 종로구 이화동(1111064000)","8,690","310","41","45","45","59","59","61"
"서울특별시 종로구 혜화동(1111065000)","17,798","766","132","114","113","139","133","135"
"서울특별시 종로구 창신제1동(1111067000)","5,983","168","24","28","30","26","32","28"
"서울특별시 종로구 창신제2동(1111068000)","9,831","353","42","50","46","51","69","95"
"서울특별시 종로구 창신제3동(1111069000)","7,767","364","56","60","56","59","71","62"
"서울특별시 종로구 숭인제1동(1111070000)","6,862","263","50","43","33","46","42","49"
"서울특별시 종로구 숭인제2동(1111071000)","9,528","210","42","31","35","37","25","40"
"서울특별시 중구 (1114000000)","125,733","4,425","855","721","647","765","708","729"
"서울특별시 중구 소공동(1114052000)","1,248","38","7","9","4","8","5","5"
"서울특별시 중구 회현동(1114054000)","5,594","125","28","23","20","13","22","19"
"서울특별시 중구 명동(1114055000)","3,010","71","17","11","13","15","7","8"
"서울특별시 중구 필동(1114057000)","4,300","132","22","21","13","17","26","33"
"서울특별시 중구 장충동(1114058000)","5,175","179","34","29","29","30","29","28"
"서울특별시 중구 광희동(1114059000)","4,980","118","29","23","14","19","15","18"
"서울특별시 중구 을지로동(1114060500)","1,731","24","7","1","3","2","6","5"
"서울특별시 중구 신당동(1114061500)","7,549","230","47","24","37","32","49","41"
"서울특별시 중구 다산동(1114062500)","15,492","533","86","83","83","87","97","97"
"서울특별시 중구 약수동(1114063500)","18,720","717","143","133","100","136","102","103"
"서울특별시 중구 청구동(1114064500)","15,367","675","129","95","97","127","101","126"
"서울특별시 중구 신당제5동(1114065000)","10,096","379","79","66","59","63","55","57"
"서울특별시 중구 동화동(1114066500)","11,510","577","103","98","91","104","86","95"
"서울특별시 중구 황학동(1114067000)","12,305","309","60","62","38","58","39","52"
"서울특별시 중구 중림동(1114068000)","8,656","318","64","43","46","54","69","42"
"서울특별시 용산구 (1117000000)","233,342","9,954","1,771","1,561","1,593","1,707","1,599","1,723"
"서울특별시 용산구 후암동(1117051000)","19,098","848","154","121","135","130","148","160"
"서울특별시 용산구 용산2가동(1117052000)","11,802","432","81","53","75","72","67","84"
"서울특별시 용산구 남영동(1117053000)","8,115","144","21","26","19","32","16","30"
"서울특별시 용산구 청파동(1117055500)","21,493","757","117","110","120","137","132","141"
"서울특별시 용산구 원효로제1동(1117056000)","13,784","498","110","89","89","78","67","65"
"서울특별시 용산구 원효로제2동(1117057000)","15,542","880","133","133","151","156","158","149"
"서울특별시 용산구 효창동(1117058000)","9,652","460","79","72","52","83","86","88"
"서울특별시 용산구 용문동(1117059000)","12,867","579","123","102","87","97","86","84"
"서울특별시 용산구 한강로동(1117062500)","14,877","431","86","66","73","75","72","59"
"서울특별시 용산구 이촌제1동(1117063000)","27,711","1,985","396","340","325","334","287","303"
"서울특별시 용산구 이촌제2동(1117064000)","9,570","370","71","60","63","54","59","63"
"서울특별시 용산구 이태원제1동(1117065000)","7,473","208","35","37","31","41","30","34"
"서울특별시 용산구 이태원제2동(1117066000)","9,876","337","58","47","62","56","56","58"
"서울특별시 용산구 한남동(1117068500)","21,621","672","105","122","97","118","110","120"
"서울특별시 용산구 서빙고동(1117069000)","13,668","810","126","107","140","131","142","164"
"서울특별시 용산구 보광동(1117070000)","16,193","543","76","76","74","113","83","121"
"서울특별시 성동구 (1120000000)","297,003","12,831","2,364","2,022","2,011","2,154","2,086","2,194"
"서울특별시 성동구 왕십리제2동(1120052000)","16,155","734","129","113","104","144","108","136"
"서울특별시 성동구 왕십리도선동(1120053500)","20,419","739","154","123","100","111","128","123"
"서울특별시 성동구 마장동(1120054000)","24,349","1,052","182","174","160","180","171","185"
"서울특별시 성동구 사근동(1120055000)","11,478","337","56","51","58","48","67","57"
"서울특별시 성동구 행당제1동(1120056000)","14,687","612","107","95","92","117","95","106"
"서울특별시 성동구 행당제2동(1120057000)","26,012","1,599","306","288","266","267","236","236"
"서울특별시 성동구 응봉동(1120058000)","16,956","1,120","216","167","169","196","185","187"
"서울특별시 성동구 금호1가동(1120059000)","13,699","615","99","88","94","99","118","117"
"서울특별시 성동구 금호2.3가동(1120061500)","22,770","927","164","137","148","148","146","184"
"서울특별시 성동구 금호4가동(1120062000)","14,597","604","126","109","95","96","94","84"
"서울특별시 성동구 옥수동(1120064500)","23,041","989","204","178","161","165","144","137"
"서울특별시 성동구 성수1가제1동(1120065000)","17,168","789","133","111","133","129","135","148"
"서울특별시 성동구 성수1가제2동(1120066000)","17,045","666","114","95","111","111","116","119"
"서울특별시 성동구 성수2가제1동(1120067000)","19,233","687","134","103","107","111","117","115"
"서울특별시 성동구 성수2가제3동(1120069000)","11,797","370","73","50","69","57","57","64"
"서울특별시 성동구 송정동(1120072000)","11,559","422","84","55","67","71","67","78"
"서울특별시 성동구 용답동(1120079000)","16,038","569","83","85","77","104","102","118"
"서울특별시 광진구 (1121500000)","360,369","16,175","2,750","2,588","2,402","2,731","2,888","2,816"
"서울특별시 광진구 화양동(1121571000)","21,441","402","63","66","51","79","76","67"
"서울특별시 광진구 군자동(1121573000)","20,670","668","122","110","90","112","109","125"
"서울특별시 광진구 중곡제1동(1121574000)","16,012","464","80","65","62","91","93","73"
"서울특별시 광진구 중곡제2동(1121575000)","22,301","910","163","144","160","137","161","145"
"서울특별시 광진구 중곡제3동(1121576000)","17,862","634","122","89","95","116","110","102"
"서울특별시 광진구 중곡제4동(1121577000)","31,787","1,196","189","164","171","202","230","240"
"서울특별시 광진구 능동(1121578000)","11,400","328","61","57","40","52","70","48"
"서울특별시 광진구 광장동(1121581000)","36,721","3,580","594","562","519","600","670","635"
"서울특별시 광진구 자양제1동(1121582000)","22,792","857","133","156","129","147","152","140"
"서울특별시 광진구 자양제2동(1121583000)","27,531","1,272","215","220","198","200","222","217"
"서울특별시 광진구 자양제3동(1121584000)","30,841","1,840","327","321","263","328","301","300"
"서울특별시 광진구 자양제4동(1121584700)","23,047","631","111","106","92","104","109","109"
"서울특별시 광진구 구의제1동(1121585000)","22,699","720","103","122","107","118","136","134"
"서울특별시 광진구 구의제2동(1121586000)","25,549","1,274","238","202","206","209","197","222"
"서울특별시 광진구 구의제3동(1121587000)","29,716","1,399","229","204","219","236","252","259"
"서울특별시 동대문구 (1123000000)","360,153","15,284","2,684","2,429","2,357","2,530","2,644","2,640"
"서울특별시 동대문구 용신동(1123053600)","31,675","977","170","135","148","191","154","179"
"서울특별시 동대문구 제기동(1123054500)","26,861","927","180","143","165","153","149","137"
"서울특별시 동대문구 전농제1동(1123056000)","30,709","1,247","220","182","169","199","229","248"
"서울특별시 동대문구 전농제2동(1123057000)","20,877","1,144","169","176","172","214","211","202"
"서울특별시 동대문구 답십리제1동(1123060000)","26,091","1,113","208","188","184","165","187","181"
"서울특별시 동대문구 답십리제2동(1123061000)","29,199","1,325","225","227","187","212","258","216"
"서울특별시 동대문구 장안제1동(1123065000)","37,342","1,610","309","256","262","261","260","262"
"서울특별시 동대문구 장안제2동(1123066000)","32,034","1,760","338","316","299","261","287","259"
"서울특별시 동대문구 청량리동(1123070500)","23,187","781","137","122","130","139","121","132"
"서울특별시 동대문구 회기동(1123071000)","10,792","377","71","65","54","55","70","62"
"서울특별시 동대문구 휘경제1동(1123072000)","14,363","412","67","64","60","66","67","88"
"서울특별시 동대문구 휘경제2동(1123073000)","25,127","1,259","195","199","197","210","214","244"
"서울특별시 동대문구 이문제1동(1123074000)","29,467","1,096","183","167","136","187","210","213"
"서울특별시 동대문구 이문제2동(1123075000)","22,429","1,256","212","189","194","217","227","217"
"서울특별시 중랑구 (1126000000)","413,909","17,182","2,959","2,764","2,632","2,849","3,011","2,967"
"서울특별시 중랑구 면목제2동(1126052000)","27,194","1,166","187","190","163","201","221","204"
"서울특별시 중랑구 면목제4동(1126054000)","22,086","892","166","158","127","131","164","146"
"서울특별시 중랑구 면목제5동(1126055000)","11,473","450","79","64","75","59","95","78"
"서울특별시 중랑구 면목본동(1126056500)","35,809","1,328","219","214","194","224","205","272"
"서울특별시 중랑구 면목제7동(1126057000)","23,702","825","129","137","122","144","150","143"
"서울특별시 중랑구 면목제3.8동(1126057500)","28,245","1,024","159","162","149","158","212","184"
"서울특별시 중랑구 상봉제1동(1126058000)","26,137","1,394","236","197","226","230","247","258"
"서울특별시 중랑구 상봉제2동(1126059000)","18,271","468","86","89","66","78","80","69"
"서울특별시 중랑구 중화제1동(1126060000)","21,118","881","167","132","135","124","154","169"
"서울특별시 중랑구 중화제2동(1126061000)","28,441","797","114","119","132","133","146","153"
"서울특별시 중랑구 묵제1동(1126062000)","34,711","1,749","284","299","279","300","300","287"
"서울특별시 중랑구 묵제2동(1126063000)","19,430","756","132","134","114","129","117","130"
"서울특별시 중랑구 망우본동(1126065500)","33,221","1,165","194","204","182","190","199","196"
"서울특별시 중랑구 망우제3동(1126066000)","18,227","732","106","114","114","125","145","128"
"서울특별시 중랑구 신내1동(1126068000)","42,006","2,245","467","358","354","376","338","352"
"서울특별시 중랑구 신내2동(1126069000)","23,838","1,310","234","193","200","247","238","198"
"서울특별시 성북구 (1129000000)","459,275","23,520","4,165","3,810","3,640","3,961","3,991","3,953"
"서울특별시 성북구 성북동(1129052500)","18,019","777","134","122","114","130","136","141"
"서울특별시 성북구 삼선동(1129055500)","27,437","1,234","221","199","180","212","207","215"
"서울특별시 성북구 동선동(1129057500)","16,304","628","78","117","86","113","137","97"
"서울특별시 성북구 돈암제1동(1129058000)","17,074","931","133","128","125","182","180","183"
"서울특별시 성북구 돈암제2동(1129059000)","23,663","1,751","312","272","279","320","285","283"
"서울특별시 성북구 안암동(1129060000)","15,999","495","83","71","87","70","91","93"
"서울특별시 성북구 보문동(1129061000)","14,646","499","106","65","75","89","91","73"
"서울특별시 성북구 정릉제1동(1129062000)","18,918","1,077","179","170","176","170","184","198"
"서울특별시 성북구 정릉제2동(1129063000)","24,496","1,214","221","201","175","191","205","221"
"서울특별시 성북구 정릉제3동(1129064000)","16,788","621","111","79","85","112","113","121"
"서울특별시 성북구 정릉제4동(1129065000)","27,689","1,474","261","230","233","284","234","232"
"서울특별시 성북구 길음제1동(1129066000)","37,832","2,950","566","500","428","491","534","431"
"서울특별시 성북구 길음제2동(1129068500)","16,105","766","148","144","121","118","107","128"
"서울특별시 성북구 종암동(1129070500)","41,988","2,398","404","409","388","398","403","396"
"서울특별시 성북구 월곡제1동(1129071500)","28,492","1,796","336","315","287","312","286","260"
"서울특별시 성북구 월곡제2동(1129072500)","20,961","961","173","164","162","149","152","161"
"서울특별시 성북구 장위제1동(1129076000)","23,256","1,033","170","150","165","166","182","200"
"서울특별시 성북구 장위제2동(1129077000)","20,677","847","156","124","149","135","138","145"
"서울특별시 성북구 장위제3동(1129078000)","13,909","706","118","102","109","127","106","144"
"서울특별시 성북구 석관동(1129081000)","35,022","1,362","255","248","216","192","220","231"
"서울특별시 강북구 (1130500000)","330,873","14,189","2,363","2,205","2,169","2,408","2,519","2,525"
"서울특별시 강북구 삼양동(1130553400)","29,858","1,412","212","229","219","236","257","259"
"서울특별시 강북구 미아동(1130553500)","23,192","801","114","115","112","139","162","159"
"서울특별시 강북구 송중동(1130554500)","30,561","1,167","193","171","167","198","222","216"
"서울특별시 강북구 송천동(1130555500)","30,018","1,076","196","169","179","165","179","188"
"서울특별시 강북구 삼각산동(1130557500)","34,661","2,641","432","432","380","473","488","436"
"서울특별시 강북구 번제1동(1130559000)","20,195","756","129","113","123","134","105","152"
"서울특별시 강북구 번제2동(1130560000)","18,596","765","126","117","115","123","134","150"
